time,size
1608716661,6
1608716661,149
1608716661,0
1608716661,1420
1608716661,1420
1608716661,1420
1608716661,1420
1608716661,1420
1608716661,1062
1608716661,0
1608716661,0
1608716673,50
1608716673,0
1608716673,0
1608716673,50
1608716674,50
1608716674,50
1608716676,50
1608716680,50
1608716687,50
1608716691,6
1608716691,0
1608716691,149
1608716691,1420
1608716691,1420
1608716691,1420
1608716691,1420
1608716691,1420
1608716691,1062
1608716691,0
1608716691,0
1608716692,178
1608716692,6
1608716692,882
1608716692,0
1608716701,50
1608716718,0
1608716718,0
1608716718,6
1608716718,304
1608716718,0
1608716718,1430
1608716718,357
1608716718,6
1608716718,6
1608716718,138
1608716718,287
1608716718,6
1608716718,373
1608716718,0
1608716718,33
1608716718,0
1608716718,31
1608716718,6
1608716718,0
1608716718,0
1608716718,0
1608716718,0
1608716718,6
1608716718,1273
1608716718,0
1608716718,182
1608716718,6
1608716718,6
1608716718,0
1608716718,0
1608716718,6
1608716718,0
1608716718,6
1608716718,1241
1608716718,0
1608716718,182
1608716718,6
1608716718,6
1608716718,0
1608716718,0
1608716718,6
1608716718,0
1608716718,6
1608716718,1241
1608716718,0
1608716718,182
1608716718,6
1608716721,149
1608716721,6
1608716721,1420
1608716721,1420
1608716721,1420
1608716721,1420
1608716721,1420
1608716721,1066
1608716721,0
1608716721,0
1608716721,0
1608716721,0
1608716721,0
1608716722,176
1608716722,6
1608716722,881
1608716722,0
1608716723,0
1608716723,6
1608716730,50
1608716744,39
1608716744,0
1608716744,35
1608716744,6
1608716751,149
1608716751,6
1608716751,1420
1608716751,1420
1608716751,1420
1608716751,1420
1608716751,1420
1608716751,1062
1608716751,0
1608716751,0
1608716751,0
1608716752,178
1608716752,6
1608716752,882
1608716752,0
1608716781,149
1608716781,6
1608716781,1420
1608716781,1420
1608716781,1420
1608716781,1420
1608716781,1420
1608716781,1066
1608716781,0
1608716781,0
1608716781,0
1608716781,0
1608716781,0
1608716782,176
1608716782,6
1608716782,881
1608716782,0
1608716783,6
1608716783,0
1608716812,149
1608716812,6
1608716812,1420
1608716812,1420
1608716812,1420
1608716812,1420
1608716812,1420
1608716812,1062
1608716812,0
1608716812,0
1608716812,0
1608716812,0
1608716812,0
1608716812,175
1608716812,6
1608716812,880
1608716812,0
1608716841,149
1608716841,6
1608716842,1420
1608716842,1420
1608716842,1420
1608716842,1420
1608716842,1420
1608716842,1066
1608716842,0
1608716842,0
1608716842,0
1608716842,0
1608716843,6
1608716843,0
1608716844,156
1608716844,1420
1608716844,1420
1608716844,224
1608716844,0
1608716844,148
1608716844,1420
1608716844,1420
1608716844,1420
1608716844,1420
1608716844,1420
1608716844,1065
1608716844,0
1608716844,0
1608716844,0
1608716850,176
1608716850,6
1608716850,881
1608716850,0
1608716863,39
1608716863,0
1608716863,35
1608716863,6
1608716873,178
1608716873,6
1608716873,882
1608716873,0
1608716874,149
1608716874,6
1608716874,1420
1608716874,1420
1608716874,1420
1608716874,1420
1608716874,1420
1608716874,1066
1608716874,0
1608716874,0
1608716874,0
1608716903,176
1608716903,6
1608716903,881
1608716903,0
1608716904,149
1608716904,6
1608716904,1420
1608716904,1420
1608716904,1420
1608716904,1420
1608716904,1420
1608716904,1062
1608716905,0
1608716905,0
1608716905,0
1608716905,0
1608716916,0
1608716916,0
1608716916,6
1608716916,1420
1608716916,197
1608716916,0
1608716916,182
1608716916,6
1608716921,0
1608716921,6
1608716933,177
1608716933,6
1608716933,881
1608716933,0
1608716934,149
1608716934,6
1608716934,1420
1608716934,1420
1608716934,1420
1608716934,1420
1608716934,1420
1608716934,1066
1608716935,0
1608716935,0
1608716935,0
1608716935,0
1608716963,176
1608716963,6
1608716963,881
1608716963,0
1608716965,149
1608716965,6
1608716965,1420
1608716965,1420
1608716965,1420
1608716965,1420
1608716965,1420
1608716965,1062
1608716965,0
1608716965,0
1608716965,0
1608716965,0
1608716965,0
1608716972,0
1608716972,0
1608716972,6
1608716972,304
1608716973,0
1608716973,1430
1608716973,356
1608716973,6
1608716973,6
1608716973,138
1608716973,287
