time,size
1608716973,6
1608716973,373
1608716973,0
1608716973,33
1608716973,0
1608716973,6
1608716973,31
1608716973,6
1608716973,0
1608716973,0
1608716973,0
1608716973,0
1608716973,0
1608716973,6
1608716973,1273
1608716973,0
1608716973,182
1608716973,6
1608716973,6
1608716973,0
1608716973,0
1608716973,6
1608716973,0
1608716973,6
1608716973,1241
1608716973,0
1608716973,182
1608716973,6
1608716973,6
1608716973,0
1608716973,0
1608716973,6
1608716973,0
1608716973,6
1608716973,1241
1608716973,0
1608716973,182
1608716973,6
1608716978,0
1608716978,6
1608716983,39
1608716983,0
1608716983,35
1608716983,6
1608716993,178
1608716993,6
1608716993,882
1608716993,0
1608716995,149
1608716995,6
1608716995,1420
1608716995,1420
1608716995,1420
1608716995,1420
1608716995,1420
1608716995,1066
1608716995,0
1608716995,0
1608716995,0
1608716995,0
1608716995,0
1608716995,0
1608717023,176
1608717023,6
1608717023,881
1608717023,0
1608717025,149
1608717025,6
1608717025,1420
1608717025,1420
1608717025,1420
1608717025,1420
1608717025,1420
1608717025,1062
1608717025,0
1608717025,0
1608717025,0
1608717025,0
1608717027,0
1608717027,0
1608717027,6
1608717027,518
1608717027,1452
1608717027,1452
1608717027,1452
1608717027,1452
1608717027,1452
1608717027,1452
1608717027,1452
1608717027,0
1608717027,796
1608717027,0
1608717027,0
1608717027,0
1608717027,0
1608717027,0
1608717027,0
1608717027,0
1608717027,0
1608717027,1452
1608717027,87
1608717027,0
1608717027,6
1608717027,6
1608717027,6
1608717028,0
1608717028,0
1608717028,0
1608717028,6
1608717028,518
1608717028,1452
1608717028,1452
1608717028,1452
1608717028,1452
1608717028,1452
1608717028,1452
1608717028,1452
1608717028,0
1608717028,0
1608717028,796
1608717028,0
1608717028,0
1608717028,0
1608717028,0
1608717028,0
1608717028,0
1608717028,0
1608717028,791
1608717028,0
1608717028,6
1608717028,6
1608717028,0
1608717038,6
1608717038,0
1608717053,175
1608717053,6
1608717053,880
1608717053,0
1608717055,149
1608717055,6
1608717055,1420
1608717055,1420
1608717055,1420
1608717055,1420
1608717055,1420
1608717055,1066
1608717055,0
1608717055,0
1608717055,0
1608717055,0
